Author,h-index
"Zhu, Zhongning",1
"Chen, Xueyan",1
"Su, Suwen",1
"Reade, Michael C.",1
"Fung, Yoke Lin",1
"Zhao, Ying",1
"Zhang, Shu-Li",1
"Wei, Juan",1
"Zheng, Liang-Liang",1
"Du, Jian-Kui",1
"Zhu, Xiao-Yan",1
"Liu, Yu-Jian",1
"Xu, Jinhao",1
"Xu, Le",1
"Sui, Pengfei",1
"Chen, Jiyuan",1
"Moya, Esteban A.",1
"Hume, Patrick",1
"Janssen, William J.",2
"Duran, Jason M.",1
"Thistlethwaite, Patricia",1
"Carlin, Aaron",1
"Gulleman, Peter",1
"Banaschewski, Brandon",1
"Goldy, Mary Kate",1
"Yuan, Jason X-J.",5
"Malhotra, Atul",1
"Pryhuber, Gloria",1
"Crotty-Alexander, Laura",1
"Deutsch, Gail",1
"Young, Lisa R.",1
"Sun, Xin",1
"Zhou, Yuhua",1
"Chen, Chunyan",1
"Li, Qingtian",1
"Sheng, Huiqiu",1
"Guo, Xiaokui",1
"Mao, Enqiang",1
"Meng, Shanshan",3
"Xia, Feiping",1
"Xu, Jingyuan",2
"Zhang, Xiwen",2
"Xue, Ming",1
"Gu, Mingyuan",1
"Guo, Fengmei",3
"Huang, Yingzi",2
"Qiu, Haibo",6
"Yang, Yi",7
"Alba, George A.",1
"Samokhin, Andriy O.",1
"Wang, Rui-Sheng",1
"Wertheim, Bradley M.",1
"Haley, Kathleen J.",1
"Padera, Robert F.",2
"Vargas, Sara O.",1
"Rosas, Ivan O.",1
"Hariri, Lida P.",1
"Shih, Angela",1
"Thompson, Boyd Taylor",1
"Mitchell, Richard N.",1
"Maron, Bradley A.",1
"Cai, Quan",1
"Jin, Yan",1
"Jia, Ziyi",1
"Liu, Zhi",1
"Hao, Wang",0
"Tao, Li",0
"Gui, Xiao",0
"Mei-Dong, Liu",0
"Ke, Liu",0
"Hua-Li, Zhang",0
"Ya-Xi, Zhu",0
"Xian-Zhong, Xiao",0
"Otifi, Hassan M.",1
"Adiga, Balkur K.",1
"Zhu, Jiali",4
