Author,Citations
"Zemskov, Evgeny A.",196
"Gross, Christine M.",267
"Aggarwal, Saurabh",206
"Zemskova, Marina A.",41
"Wu, Xiaomin",101
"Gu, Chenxin",2
"Wang, Ting",410
"Tang, Haiyang",142
"Black, Stephen M.",383
"Selickman, John",5
"Vrettou, Charikleia S.",5
"Mentzelopoulos, Spyros D.",5
"Le, Aiping",1
"Liu, Wei",107
"Wu, Chenggao",1
"Hu, Piaoping",1
"Zou, Juan",1
"Wu, Yize",1
"Kuang, Linju",1
"Wang, Hui",56
"Cong, Linjing",2
"Yin, Xianghong",2
"Zhang, Nan",380
"Zhu, Min",2
"Sun, Tingting",2
"Fan, Junming",2
"Xue, Feng",2
"Fan, Xiaofang",2
"Gong, Yongsheng",2
"Ma, Luyu",1
"Ye, Yumeng",1
"Lu, Hao",1
"Xing, Yuan",1
"Zhao, Zhen",1
"Quan, Cheng",1
"Jia, Zhaoqian",1
"Lu, Yiming",1
"Li, Yang",1
"Zhou, Gangqiao",1
"Zhang, Hui",7
"Jiang, Lai",6
"Hsieh, Po-Chun",2
"Wu, Yao-Kuang",2
"Yang, Mei-Chen",2
"Su, Wen-Lin",2
"Kuo, Chan-Yen",2
"Chin-Lan, Chou",2
"Zhang, Jiazhi",22
"Pan, Ziqian",0
"Zhou, Jianhao",0
"Zhang, Ling",0
"Tang, Jiahui",25
"Gong, Shuaishuai",25
"Yu, Boyang",25
"Zhang, Yuanyuan",28
"Kou, Junping",90
"Stevens, Reece P.",0
"Alexeyev, Mikhail F.",82
"Kozhukhar, Natalia",14
"Pastukh, Viktoria",0
"Paudel, Sunita S.",0
"Bell, Jessica",0
"Tambe, Dhananjay T.",0
"Stevens, Troy",148
"Lee, Ji Young",25
"Jonigk, Danny",79
"Werlein, Christopher",4
"Lee, Peter D.",4
"Kauczor, Hans-Ulrich",4
"Laenger, Florian",4
"Ackermann, Maximilian",79
"Cui, Pei",0
"Tang, Zhiping",0
"Zhan, Qiu",0
"Deng, Chunjiang",0
"Lai, Yanhua",0
"Zhu, Fujun",0
"Xin, Haiming",0
"Li, Rongsheng",0
"Chen, Anning",0
"Tong, Yalin",0
"Wang, Wei",36
"Xu, Rongli",4
"Zhao, Haomiao",4
"Xiong, Yuqing",4
"He, Ping",4
"Li, Chichi",114
"Wang, Min",1
"Wang, Wangjia",1
"Li, Yuping",69
"Zhang, Dan",143
"Jones, Nicole M.",1
"Sysol, Justin R.",1
"Singla, Sunit",1
"Smith, Patricia",1
"Sandusky, George E.",1
"Wang, Huashan",48
"Natarajan, Viswanathan",353
"Dudek, Steven M.",736
"Machado, Roberto F.",129
"Fu, Zhiling",3
"Wu, Xiuying",3
"Zheng, Fushuang",3
"Qian, Yisong",9
"Wang, Ziwei",9
"Lin, Hongru",9
"Lei, Tianhua",9
"Zhou, Zhou",9
"Huang, Weilu",9
"Wu, Xuehan",9
"Zuo, Li",9
"Wang, Ling-Fang",9
"Guan, Xiao-Hui",9
"Deng, Ke-Yu",9
"Fu, Mingui",9
"Xin, Hong-Bo",9
"Deng, Wang",141
"Peng, Junnan",4
"Tang, Xumao",148
"Yu, Qian",49
"Bandela, Mounica",23
"Belvitch, Patrick",183
"Evans, Colin E.",98
"Peng, Yi",2
"Zhu, Maggie M.",2
"Dai, Zhiyu",70
"Zhang, Xianming",25
"Zhao, You-Yang",182
"Hao, Ying",3
"Wang, Zhuang",3
"Frimpong, Francis",3
"Chen, Xingjuan",3
"Wu, Yi-Hong",1
"Wei, Chen-Ying",1
"Hong, Wei-Chin",1
"Pang, Jong-Hwei Su",1
"Ren, Rui",1
"Xu, Zehui",1
"Wang, Xin",1
"Jiang, Wanglin",22
"Yu, Pengfei",1
"Li, Zhan-Fei",5
"Wang, Yu-Chang",5
"Feng, Quan-Rui",5
"Zhuang, Yang-Fan",5
"Xie, Zhen-Xing",5
"Tang, Weifeng",11
"Yangzhong, Xiaoting",11
"Zhang, Xifeng",11
"Zu, Anju",11
"Hou, Yunjiao",11
"Li, Lin",11
"Sun, Shibo",11
"Liu, Huanlong",3
"Pan, Zhenhua",3
"Ma, Xindi",3
"Cui, Junru",3
"Gao, Juan",3
"Miao, Qingfeng",3
"Zhu, Zhongning",3
"Chen, Xueyan",3
"Su, Suwen",3
"Reade, Michael C.",11
"Fung, Yoke Lin",11
"Zhao, Ying",1
"Zhang, Shu-Li",1
"Wei, Juan",1
"Zheng, Liang-Liang",1
"Du, Jian-Kui",1
"Zhu, Xiao-Yan",1
"Liu, Yu-Jian",1
"Xu, Jinhao",10
"Xu, Le",10
"Sui, Pengfei",10
"Chen, Jiyuan",10
"Moya, Esteban A.",10
"Hume, Patrick",10
"Janssen, William J.",18
"Duran, Jason M.",10
"Thistlethwaite, Patricia",10
"Carlin, Aaron",10
"Gulleman, Peter",10
"Banaschewski, Brandon",10
"Goldy, Mary Kate",10
"Yuan, Jason X-J.",139
"Malhotra, Atul",10
"Pryhuber, Gloria",10
"Crotty-Alexander, Laura",10
"Deutsch, Gail",10
"Young, Lisa R.",10
"Sun, Xin",10
"Zhou, Yuhua",2
"Chen, Chunyan",2
"Li, Qingtian",2
"Sheng, Huiqiu",2
"Guo, Xiaokui",2
"Mao, Enqiang",2
"Meng, Shanshan",42
"Xia, Feiping",2
"Xu, Jingyuan",60
"Zhang, Xiwen",72
"Xue, Ming",2
"Gu, Mingyuan",2
"Guo, Fengmei",69
"Huang, Yingzi",35
"Qiu, Haibo",308
"Yang, Yi",310
"Alba, George A.",2
"Samokhin, Andriy O.",2
"Wang, Rui-Sheng",2
"Wertheim, Bradley M.",2
"Haley, Kathleen J.",2
"Padera, Robert F.",192
"Vargas, Sara O.",2
"Rosas, Ivan O.",2
"Hariri, Lida P.",2
"Shih, Angela",2
"Thompson, Boyd Taylor",2
"Mitchell, Richard N.",2
"Maron, Bradley A.",2
"Cai, Quan",7
"Jin, Yan",7
"Jia, Ziyi",1
"Liu, Zhi",7
"Hao, Wang",0
"Tao, Li",0
"Gui, Xiao",0
"Mei-Dong, Liu",0
"Ke, Liu",0
"Hua-Li, Zhang",0
"Ya-Xi, Zhu",0
"Xian-Zhong, Xiao",0
"Otifi, Hassan M.",36
"Adiga, Balkur K.",36
"Zhu, Jiali",86
"Li, Jinbao",51
"Chung, Chun-Shiang",229
"Lomas-Neira, Joanne L.",231
"Ayala, Alfred",248
"Jones, Joshua H.",30
"Minshall, Richard D.",292
"Lamers, Mart M.",161
"Haagmans, Bart L.",161
"Wu, Yunhao",25
"Yu, Xiu",68
"Wang, Yuwei",25
"Huang, Yalin",3
"Jiang, Siyu",3
"Xia, Yuanli",3
"Kertesz, Zsuzsanna",1
"Harrington, Elizabeth O.",188
"Braza, Julie",128
"Guarino, Brianna D.",1
"Chichger, Havovi",128
"Zhang, Lishan",11
"Nong, Jia",7
"Glassman, Patrick M.",15
"Muzykantov, Vladimir R.",184
"Fukatsu, Masahiko",3
"Ohkawara, Hiroshi",3
"Wang, Xintao",3
"Alkebsi, Lobna",3
"Furukawa, Miki",3
"Mori, Hirotaka",3
"Fukami, Miwa",3
"Fukami, Shin-ichi",3
"Sano, Takahiro",3
"Takahashi, Hiroshi",3
"Harada-Shirado, Kayo",3
"Kimura, Satoshi",3
"Sugimoto, Koichi",3
"Ogawa, Kazuei",3
"Ikezoe, Takayuki",3
"Sun, Weifeng",9
"Wu, Weixin",9
"Jiang, Nan",9
"Ge, Xinna",9
"Zhang, Yongning",9
"Han, Jun",42
"Guo, Xin",9
"Zhou, Lei",9
"Yang, Hanchun",9
"Li, Haichang",2
"Rosas, Lucia",2
"Li, Zhongguang",2
"Bian, Zehua",2
"Li, Xiuchun",2
"Choi, Kyounghan",2
"Cai, Chuanxi",2
"Zhou, Xinyu",2
"Tan, Tao",2
"Bergdall, Valerie",2
"Whitson, Bryan",2
"Davis, Ian",2
"Ma, Jianjie",2
"Chen, Weiguo",159
"Gard, Jamie M. C.",0
"Epshtein, Yulia",20
"Jacobson, Jeffrey R.",529
"Cress, Anne E.",40
"Sercundes, Michelle Klein",9
"Ortolan, Luana dos Santos",9
"Julio, Viviane da Silva",2
"Bella, Leonardo M.",2
"Quirino, Thatyane de Castro",9
"Debone, Daniela",9
"Carneiro-Ramos, Marcela S.",2
"Christoffolete, Marcelo A.",2
"Martins, Joilson O.",2
"D'Imperio Lima, Maria Regina",2
"Alvarez, Jose M.",21
"Amarante-Mendes, Gustavo P.",2
"Goncalves, Ligia Antunes",2
"Marinho, Claudio R. F.",21
"Epiphanio, Sabrina",28
"Ji, Juanjuan",7
"Ye, Wei",7
"Huang, Yi-Dan",2
"Fang, Yu",2
"Ma, Li",2
"Feng, Peng-Jiu",2
"Li, Wen-Long",2
"Zhou, Yi-Qi",2
"Qin, Yuan-Hao",2
"You, Zhi-Jian",2
"Dong, Liang",2
"Bouchard, Beth A.",8
"Colovos, Christos",8
"Lawson, Michael A.",8
"Osborn, Zachary T.",8
"Sackheim, Adrian M.",8
"Mould, Kara J.",8
"Cohen, Mitchell J.",8
"Majumdar, Devdoot",8
"Freeman, Kalev",8
"Fernandes, Marcos V. S.",3
"Rocha, Nazareth N.",8
"Felix, Nathane S.",2
"Rodrigues, Gisele C.",2
"Silva, Luisa H. A.",2
"Coelho, Mariana S.",2
"Teixeira, Ana Carolina G. M.",2
"Hao, Qin",6
"Shetty, Sreerama",38
"Tucker, Torry A.",6
"Idell, Steven",6
"Tang, Hua",6
"Uddin, Mohammad Afaz",67
"Wang, Qizheng",1
"Wu, Qiong",1
"He, Jing",145
